LGA,Field_Of_Study,Count,X,Y
Bayside (Vic.),Natural and Physical Sciences,477,324085.58,5804633.619
Bayside (Vic.),Not applicable,8386,324085.58,5804633.619
Bayside (Vic.),Society and Culture,1184,324085.58,5804633.619
Benalla,"Agriculture, Environmental and Related Studies",38,419392.691,5964040.678
Benalla,Architecture and Building,30,419392.691,5964040.678
Benalla,Creative Arts,15,419392.691,5964040.678
Benalla,Education,65,419392.691,5964040.678
Benalla,Engineering and Related Technologies,44,419392.691,5964040.678
Benalla,Field of study inadequately described,6,419392.691,5964040.678
Benalla,Field of study not stated,22,419392.691,5964040.678
Benalla,"Food, Hospitality and Personal Services",29,419392.691,5964040.678
Benalla,Health,85,419392.691,5964040.678
Benalla,Information Technology,3,419392.691,5964040.678
Benalla,Management and Commerce,74,419392.691,5964040.678
Benalla,Natural and Physical Sciences,8,419392.691,5964040.678
Benalla,Not applicable,328,419392.691,5964040.678
Benalla,Society and Culture,104,419392.691,5964040.678
Boroondara,"Agriculture, Environmental and Related Studies",187,329734.294,5808971.219
Boroondara,Architecture and Building,557,329734.294,5808971.219
Boroondara,Creative Arts,1511,329734.294,5808971.219
Boroondara,Education,854,329734.294,5808971.219
Boroondara,Engineering and Related Technologies,1323,329734.294,5808971.219
Boroondara,Field of study inadequately described,419,329734.294,5808971.219
Boroondara,Field of study not stated,256,329734.294,5808971.219
Boroondara,"Food, Hospitality and Personal Services",570,329734.294,5808971.219
Boroondara,Health,2256,329734.294,5808971.219
Boroondara,Information Technology,703,329734.294,5808971.219
Boroondara,Management and Commerce,3409,329734.294,5808971.219
Boroondara,Mixed Field Programmes,62,329734.294,5808971.219
Boroondara,Natural and Physical Sciences,1629,329734.294,5808971.219
Boroondara,Not applicable,17709,329734.294,5808971.219
Boroondara,Society and Culture,2912,329734.294,5808971.219
Brimbank,"Agriculture, Environmental and Related Studies",93,302380.251,5816202.346
Brimbank,Architecture and Building,620,302380.251,5816202.346
Brimbank,Creative Arts,661,302380.251,5816202.346
Brimbank,Education,889,302380.251,5816202.346
Brimbank,Engineering and Related Technologies,1431,302380.251,5816202.346
Brimbank,Field of study inadequately described,228,302380.251,5816202.346
Brimbank,Field of study not stated,465,302380.251,5816202.346
Brimbank,"Food, Hospitality and Personal Services",1039,302380.251,5816202.346
Brimbank,Health,1687,302380.251,5816202.346
Brimbank,Information Technology,1027,302380.251,5816202.346
Brimbank,Management and Commerce,2805,302380.251,5816202.346
Brimbank,Mixed Field Programmes,60,302380.251,5816202.346
Brimbank,Natural and Physical Sciences,901,302380.251,5816202.346
Brimbank,Not applicable,13971,302380.251,5816202.346
Brimbank,Society and Culture,2058,302380.251,5816202.346
Buloke,"Agriculture, Environmental and Related Studies",18,169317.097,6003269.067
Buloke,Creative Arts,3,169317.097,6003269.067
Buloke,Education,13,169317.097,6003269.067
Buloke,Engineering and Related Technologies,7,169317.097,6003269.067
Buloke,"Food, Hospitality and Personal Services",13,169317.097,6003269.067
Buloke,Health,26,169317.097,6003269.067
Buloke,Information Technology,7,169317.097,6003269.067
Buloke,Management and Commerce,13,169317.097,6003269.067
Buloke,Not applicable,147,169317.097,6003269.067
Buloke,Society and Culture,17,169317.097,6003269.067
Campaspe,"Agriculture, Environmental and Related Studies",65,289665.252,5945262.942
Campaspe,Architecture and Building,45,289665.252,5945262.942
Campaspe,Creative Arts,44,289665.252,5945262.942
Campaspe,Education,188,289665.252,5945262.942
Campaspe,Engineering and Related Technologies,103,289665.252,5945262.942
Campaspe,Field of study inadequately described,9,289665.252,5945262.942
Campaspe,Field of study not stated,30,289665.252,5945262.942
Campaspe,"Food, Hospitality and Personal Services",134,289665.252,5945262.942
Campaspe,Health,269,289665.252,5945262.942
Campaspe,Information Technology,7,289665.252,5945262.942
Campaspe,Management and Commerce,242,289665.252,5945262.942
Campaspe,Natural and Physical Sciences,39,289665.252,5945262.942
Campaspe,Not applicable,1233,289665.252,5945262.942
Campaspe,Society and Culture,348,289665.252,5945262.942
Cardinia,"Agriculture, Environmental and Related Studies",160,362993.144,5802469.093
Cardinia,Architecture and Building,338,362993.144,5802469.093
Cardinia,Creative Arts,372,362993.144,5802469.093
Cardinia,Education,750,362993.144,5802469.093
Cardinia,Engineering and Related Technologies,599,362993.144,5802469.093
Cardinia,Field of study inadequately described,143,362993.144,5802469.093
Cardinia,Field of study not stated,187,362993.144,5802469.093
Cardinia,"Food, Hospitality and Personal Services",563,362993.144,5802469.093
Cardinia,Health,1225,362993.144,5802469.093
Cardinia,Information Technology,356,362993.144,5802469.093
Cardinia,Management and Commerce,1444,362993.144,5802469.093
Cardinia,Mixed Field Programmes,9,362993.144,5802469.093
Cardinia,Natural and Physical Sciences,328,362993.144,5802469.093
Cardinia,Not applicable,6431,362993.144,5802469.093
Cardinia,Society and Culture,1553,362993.144,5802469.093
Casey,"Agriculture, Environmental and Related Studies",338,347297.9,5795419.845
Casey,Architecture and Building,1138,347297.9,5795419.845
Casey,Creative Arts,950,347297.9,5795419.845
Casey,Education,2003,347297.9,5795419.845
Casey,Engineering and Related Technologies,2648,347297.9,5795419.845
Casey,Field of study inadequately described,480,347297.9,5795419.845
Casey,Field of study not stated,699,347297.9,5795419.845
Casey,"Food, Hospitality and Personal Services",1710,347297.9,5795419.845
Casey,Health,4080,347297.9,5795419.845
Casey,Information Technology,1550,347297.9,5795419.845
Casey,Management and Commerce,4983,347297.9,5795419.845
Casey,Mixed Field Programmes,37,347297.9,5795419.845
Casey,Natural and Physical Sciences,1531,347297.9,5795419.845
Casey,Not applicable,23996,347297.9,5795419.845
Casey,Society and Culture,4731,347297.9,5795419.845
Central Goldfields,"Agriculture, Environmental and Related Studies",5,214689.617,5906324.751
Central Goldfields,Architecture and Building,3,214689.617,5906324.751
Central Goldfields,Creative Arts,4,214689.617,5906324.751
Central Goldfields,Education,38,214689.617,5906324.751
Central Goldfields,Engineering and Related Technologies,6,214689.617,5906324.751
Central Goldfields,Field of study inadequately described,10,214689.617,5906324.751
Central Goldfields,"Food, Hospitality and Personal Services",15,214689.617,5906324.751
Central Goldfields,Health,60,214689.617,5906324.751
Central Goldfields,Management and Commerce,38,214689.617,5906324.751
Central Goldfields,Not applicable,326,214689.617,5906324.751
Central Goldfields,Society and Culture,66,214689.617,5906324.751
Colac Otway,"Agriculture, Environmental and Related Studies",31,220261.937,5755482.296
Colac Otway,Architecture and Building,37,220261.937,5755482.296
Colac Otway,Creative Arts,27,220261.937,5755482.296
Colac Otway,Education,84,220261.937,5755482.296
Colac Otway,Engineering and Related Technologies,49,220261.937,5755482.296
Colac Otway,Field of study inadequately described,6,220261.937,5755482.296
Colac Otway,"Food, Hospitality and Personal Services",46,220261.937,5755482.296
Colac Otway,Health,102,220261.937,5755482.296
Colac Otway,Information Technology,6,220261.937,5755482.296
Colac Otway,Management and Commerce,152,220261.937,5755482.296
Colac Otway,Natural and Physical Sciences,24,220261.937,5755482.296
Colac Otway,Not applicable,635,220261.937,5755482.296
Colac Otway,Society and Culture,200,220261.937,5755482.296
Corangamite,"Agriculture, Environmental and Related Studies",39,151502.396,5762183.784
Corangamite,Architecture and Building,18,151502.396,5762183.784
Corangamite,Creative Arts,30,151502.396,5762183.784
Corangamite,Education,62,151502.396,5762183.784
Corangamite,Engineering and Related Technologies,37,151502.396,5762183.784
Corangamite,Field of study not stated,3,151502.396,5762183.784
Corangamite,"Food, Hospitality and Personal Services",37,151502.396,5762183.784
Corangamite,Health,64,151502.396,5762183.784
Corangamite,Management and Commerce,86,151502.396,5762183.784
Corangamite,Natural and Physical Sciences,12,151502.396,5762183.784
Corangamite,Not applicable,477,151502.396,5762183.784
Corangamite,Society and Culture,83,151502.396,5762183.784
Darebin,"Agriculture, Environmental and Related Studies",362,325930.175,5824072.407
Darebin,Architecture and Building,524,325930.175,5824072.407
Darebin,Creative Arts,2227,325930.175,5824072.407
Darebin,Education,1028,325930.175,5824072.407
Darebin,Engineering and Related Technologies,1182,325930.175,5824072.407
Darebin,Field of study inadequately described,603,325930.175,5824072.407
Darebin,Field of study not stated,312,325930.175,5824072.407
Darebin,"Food, Hospitality and Personal Services",764,325930.175,5824072.407
Darebin,Health,2430,325930.175,5824072.407
Darebin,Information Technology,835,325930.175,5824072.407
Darebin,Management and Commerce,2739,325930.175,5824072.407
Darebin,Mixed Field Programmes,56,325930.175,5824072.407
Darebin,Natural and Physical Sciences,1437,325930.175,5824072.407
Darebin,Not applicable,10883,325930.175,5824072.407
Darebin,Society and Culture,3547,325930.175,5824072.407
East Gippsland,"Agriculture, Environmental and Related Studies",58,685479.495,5841034.031
East Gippsland,Architecture and Building,46,685479.495,5841034.031
East Gippsland,Creative Arts,69,685479.495,5841034.031
East Gippsland,Education,180,685479.495,5841034.031
East Gippsland,Engineering and Related Technologies,82,685479.495,5841034.031
East Gippsland,Field of study inadequately described,20,685479.495,5841034.031
East Gippsland,Field of study not stated,40,685479.495,5841034.031
East Gippsland,"Food, Hospitality and Personal Services",120,685479.495,5841034.031
East Gippsland,Health,368,685479.495,5841034.031
East Gippsland,Information Technology,13,685479.495,5841034.031
East Gippsland,Management and Commerce,336,685479.495,5841034.031
East Gippsland,Mixed Field Programmes,3,685479.495,5841034.031
East Gippsland,Natural and Physical Sciences,52,685479.495,5841034.031
East Gippsland,Not applicable,1133,685479.495,5841034.031
East Gippsland,Society and Culture,415,685479.495,5841034.031
Frankston,"Agriculture, Environmental and Related Studies",148,341617.459,5779229.603
Frankston,Architecture and Building,410,341617.459,5779229.603
Frankston,Creative Arts,476,341617.459,5779229.603
Frankston,Education,829,341617.459,5779229.603
Frankston,Engineering and Related Technologies,661,341617.459,5779229.603
Frankston,Field of study inadequately described,151,341617.459,5779229.603
Frankston,Field of study not stated,145,341617.459,5779229.603
Frankston,"Food, Hospitality and Personal Services",545,341617.459,5779229.603
Frankston,Health,1504,341617.459,5779229.603
Frankston,Information Technology,261,341617.459,5779229.603
Frankston,Management and Commerce,1449,341617.459,5779229.603
Frankston,Mixed Field Programmes,29,341617.459,5779229.603
Frankston,Natural and Physical Sciences,392,341617.459,5779229.603
Frankston,Not applicable,7323,341617.459,5779229.603
Frankston,Society and Culture,1769,341617.459,5779229.603
Gannawarra,"Agriculture, Environmental and Related Studies",6,205058.218,6063657.473
Gannawarra,Architecture and Building,3,205058.218,6063657.473
Gannawarra,Education,4,205058.218,6063657.473
Gannawarra,Engineering and Related Technologies,29,205058.218,6063657.473
Gannawarra,Field of study inadequately described,6,205058.218,6063657.473
Gannawarra,"Food, Hospitality and Personal Services",22,205058.218,6063657.473
Gannawarra,Health,41,205058.218,6063657.473
Gannawarra,Information Technology,6,205058.218,6063657.473
Gannawarra,Management and Commerce,36,205058.218,6063657.473
Gannawarra,Not applicable,202,205058.218,6063657.473
Gannawarra,Society and Culture,49,205058.218,6063657.473
Glen Eira,"Agriculture, Environmental and Related Studies",113,330720.06,5802784.888
Glen Eira,Architecture and Building,499,330720.06,5802784.888
Glen Eira,Creative Arts,1242,330720.06,5802784.888
Glen Eira,Education,801,330720.06,5802784.888
Glen Eira,Engineering and Related Technologies,1101,330720.06,5802784.888
Glen Eira,Field of study inadequately described,375,330720.06,5802784.888
Glen Eira,Field of study not stated,270,330720.06,5802784.888
Glen Eira,"Food, Hospitality and Personal Services",578,330720.06,5802784.888
Glen Eira,Health,1740,330720.06,5802784.888
Glen Eira,Information Technology,700,330720.06,5802784.888
Glen Eira,Management and Commerce,3158,330720.06,5802784.888
Glen Eira,Mixed Field Programmes,31,330720.06,5802784.888
Glen Eira,Natural and Physical Sciences,1069,330720.06,5802784.888
Glen Eira,Not applicable,12188,330720.06,5802784.888
Glen Eira,Society and Culture,2487,330720.06,5802784.888
Glenelg,"Agriculture, Environmental and Related Studies",40,-27655.322,5779921.649
Glenelg,Architecture and Building,51,-27655.322,5779921.649
Glenelg,Creative Arts,11,-27655.322,5779921.649
Glenelg,Education,82,-27655.322,5779921.649
Glenelg,Engineering and Related Technologies,52,-27655.322,5779921.649
Glenelg,Field of study inadequately described,7,-27655.322,5779921.649
Glenelg,Field of study not stated,7,-27655.322,5779921.649
Glenelg,"Food, Hospitality and Personal Services",57,-27655.322,5779921.649
Glenelg,Health,138,-27655.322,5779921.649
Glenelg,Information Technology,6,-27655.322,5779921.649
Glenelg,Management and Commerce,117,-27655.322,5779921.649
Glenelg,Natural and Physical Sciences,5,-27655.322,5779921.649
Glenelg,Not applicable,524,-27655.322,5779921.649
Glenelg,Society and Culture,144,-27655.322,5779921.649
Golden Plains,"Agriculture, Environmental and Related Studies",64,214527.393,5819574.568
Golden Plains,Architecture and Building,45,214527.393,5819574.568
Golden Plains,Creative Arts,42,214527.393,5819574.568
Golden Plains,Education,97,214527.393,5819574.568
Golden Plains,Engineering and Related Technologies,75,214527.393,5819574.568
Golden Plains,Field of study inadequately described,11,214527.393,5819574.568
Golden Plains,Field of study not stated,17,214527.393,5819574.568
Golden Plains,"Food, Hospitality and Personal Services",58,214527.393,5819574.568
Golden Plains,Health,190,214527.393,5819574.568
Golden Plains,Information Technology,23,214527.393,5819574.568
Golden Plains,Management and Commerce,181,214527.393,5819574.568
Golden Plains,Natural and Physical Sciences,20,214527.393,5819574.568
Golden Plains,Not applicable,1016,214527.393,5819574.568
Golden Plains,Society and Culture,200,214527.393,5819574.568
Greater Bendigo,"Agriculture, Environmental and Related Studies",154,267308.591,5922777.412
Greater Bendigo,Architecture and Building,313,267308.591,5922777.412
Greater Bendigo,Creative Arts,362,267308.591,5922777.412
Greater Bendigo,Education,651,267308.591,5922777.412
Greater Bendigo,Engineering and Related Technologies,518,267308.591,5922777.412
Greater Bendigo,Field of study inadequately described,98,267308.591,5922777.412
Greater Bendigo,Field of study not stated,114,267308.591,5922777.412
Greater Bendigo,"Food, Hospitality and Personal Services",464,267308.591,5922777.412
Greater Bendigo,Health,1641,267308.591,5922777.412
Greater Bendigo,Information Technology,137,267308.591,5922777.412
Greater Bendigo,Management and Commerce,1107,267308.591,5922777.412
Greater Bendigo,Mixed Field Programmes,15,267308.591,5922777.412
Greater Bendigo,Natural and Physical Sciences,243,267308.591,5922777.412
Greater Bendigo,Not applicable,6136,267308.591,5922777.412
Greater Bendigo,Society and Culture,1370,267308.591,5922777.412
Greater Dandenong,"Agriculture, Environmental and Related Studies",96,342589.735,5790693.216
Greater Dandenong,Architecture and Building,471,342589.735,5790693.216
Greater Dandenong,Creative Arts,451,342589.735,5790693.216
Greater Dandenong,Education,751,342589.735,5790693.216
Greater Dandenong,Engineering and Related Technologies,1571,342589.735,5790693.216
Greater Dandenong,Field of study inadequately described,227,342589.735,5790693.216
Greater Dandenong,Field of study not stated,479,342589.735,5790693.216
Greater Dandenong,"Food, Hospitality and Personal Services",967,342589.735,5790693.216
Greater Dandenong,Health,1553,342589.735,5790693.216
Greater Dandenong,Information Technology,1088,342589.735,5790693.216
Greater Dandenong,Management and Commerce,2868,342589.735,5790693.216
Greater Dandenong,Mixed Field Programmes,26,342589.735,5790693.216
Greater Dandenong,Natural and Physical Sciences,867,342589.735,5790693.216
Greater Dandenong,Not applicable,12153,342589.735,5790693.216
Greater Dandenong,Society and Culture,1706,342589.735,5790693.216
Greater Geelong,"Agriculture, Environmental and Related Studies",356,276870.383,5763939.705
Greater Geelong,Architecture and Building,1391,276870.383,5763939.705
Greater Geelong,Creative Arts,1312,276870.383,5763939.705
Greater Geelong,Education,1689,276870.383,5763939.705
Greater Geelong,Engineering and Related Technologies,2183,276870.383,5763939.705
Greater Geelong,Field of study inadequately described,365,276870.383,5763939.705
Greater Geelong,Field of study not stated,329,276870.383,5763939.705
Greater Geelong,"Food, Hospitality and Personal Services",1133,276870.383,5763939.705
Greater Geelong,Health,3614,276870.383,5763939.705
Greater Geelong,Information Technology,667,276870.383,5763939.705
Greater Geelong,Management and Commerce,3156,276870.383,5763939.705
Greater Geelong,Mixed Field Programmes,40,276870.383,5763939.705
Greater Geelong,Natural and Physical Sciences,1445,276870.383,5763939.705
Greater Geelong,Not applicable,16195,276870.383,5763939.705
Greater Geelong,Society and Culture,3577,276870.383,5763939.705
Greater Shepparton,"Agriculture, Environmental and Related Studies",90,376112.857,5983092.511
Greater Shepparton,Architecture and Building,81,376112.857,5983092.511
Greater Shepparton,Creative Arts,118,376112.857,5983092.511
Greater Shepparton,Education,317,376112.857,5983092.511
Greater Shepparton,Engineering and Related Technologies,248,376112.857,5983092.511
Greater Shepparton,Field of study inadequately described,55,376112.857,5983092.511
Greater Shepparton,Field of study not stated,78,376112.857,5983092.511
Greater Shepparton,"Food, Hospitality and Personal Services",206,376112.857,5983092.511
Greater Shepparton,Health,683,376112.857,5983092.511
Greater Shepparton,Information Technology,58,376112.857,5983092.511
Greater Shepparton,Management and Commerce,596,376112.857,5983092.511
Greater Shepparton,Mixed Field Programmes,3,376112.857,5983092.511
Greater Shepparton,Natural and Physical Sciences,159,376112.857,5983092.511
Greater Shepparton,Not applicable,2561,376112.857,5983092.511
Greater Shepparton,Society and Culture,806,376112.857,5983092.511
Hepburn,"Agriculture, Environmental and Related Studies",27,214058.153,5870789.273
Hepburn,Architecture and Building,14,214058.153,5870789.273
Hepburn,Creative Arts,76,214058.153,5870789.273
Hepburn,Education,67,214058.153,5870789.273
Hepburn,Engineering and Related Technologies,51,214058.153,5870789.273
Hepburn,Field of study inadequately described,12,214058.153,5870789.273
Hepburn,Field of study not stated,30,214058.153,5870789.273
Hepburn,"Food, Hospitality and Personal Services",47,214058.153,5870789.273
Hepburn,Health,122,214058.153,5870789.273
Hepburn,Information Technology,12,214058.153,5870789.273
Hepburn,Management and Commerce,122,214058.153,5870789.273
Hepburn,Natural and Physical Sciences,23,214058.153,5870789.273
Hepburn,Not applicable,369,214058.153,5870789.273
Hepburn,Society and Culture,161,214058.153,5870789.273
Hindmarsh,"Agriculture, Environmental and Related Studies",11,15973.886,5974012.658
Hindmarsh,Creative Arts,5,15973.886,5974012.658
Hindmarsh,Education,10,15973.886,5974012.658
Hindmarsh,Engineering and Related Technologies,7,15973.886,5974012.658
Hindmarsh,Field of study not stated,5,15973.886,5974012.658
Hindmarsh,"Food, Hospitality and Personal Services",3,15973.886,5974012.658
Hindmarsh,Health,43,15973.886,5974012.658
Hindmarsh,Management and Commerce,9,15973.886,5974012.658
Hindmarsh,Not applicable,113,15973.886,5974012.658
Hindmarsh,Society and Culture,21,15973.886,5974012.658
Hobsons Bay,"Agriculture, Environmental and Related Studies",85,310108.184,5812095.559
Hobsons Bay,Architecture and Building,254,310108.184,5812095.559
Hobsons Bay,Creative Arts,501,310108.184,5812095.559
Hobsons Bay,Education,575,310108.184,5812095.559
Hobsons Bay,Engineering and Related Technologies,551,310108.184,5812095.559
Hobsons Bay,Field of study inadequately described,134,310108.184,5812095.559
Hobsons Bay,Field of study not stated,118,310108.184,5812095.559
Hobsons Bay,"Food, Hospitality and Personal Services",312,310108.184,5812095.559
Hobsons Bay,Health,815,310108.184,5812095.559
Hobsons Bay,Information Technology,294,310108.184,5812095.559
Hobsons Bay,Management and Commerce,1400,310108.184,5812095.559
Hobsons Bay,Mixed Field Programmes,8,310108.184,5812095.559
Hobsons Bay,Natural and Physical Sciences,408,310108.184,5812095.559
Hobsons Bay,Not applicable,5101,310108.184,5812095.559
Hobsons Bay,Society and Culture,1304,310108.184,5812095.559
Horsham,"Agriculture, Environmental and Related Studies",74,77926.451,5935586.173
Horsham,Architecture and Building,32,77926.451,5935586.173
Horsham,Creative Arts,29,77926.451,5935586.173
Horsham,Education,53,77926.451,5935586.173
Horsham,Engineering and Related Technologies,81,77926.451,5935586.173
Horsham,Field of study not stated,12,77926.451,5935586.173
Horsham,"Food, Hospitality and Personal Services",56,77926.451,5935586.173
Horsham,Health,215,77926.451,5935586.173
Horsham,Information Technology,9,77926.451,5935586.173
Horsham,Management and Commerce,154,77926.451,5935586.173
Horsham,Natural and Physical Sciences,34,77926.451,5935586.173
Horsham,Not applicable,626,77926.451,5935586.173
Horsham,Society and Culture,166,77926.451,5935586.173
Hume,"Agriculture, Environmental and Related Studies",204,315907.872,5841130.954
Hume,Architecture and Building,941,315907.872,5841130.954
Hume,Creative Arts,655,315907.872,5841130.954
Hume,Education,1546,315907.872,5841130.954
Hume,Engineering and Related Technologies,1911,315907.872,5841130.954
Hume,Field of study inadequately described,328,315907.872,5841130.954
Hume,Field of study not stated,583,315907.872,5841130.954
Hume,"Food, Hospitality and Personal Services",1105,315907.872,5841130.954
Hume,Health,2241,315907.872,5841130.954
Hume,Information Technology,1056,315907.872,5841130.954
Hume,Management and Commerce,3179,315907.872,5841130.954
Hume,Mixed Field Programmes,33,315907.872,5841130.954
Hume,Natural and Physical Sciences,1153,315907.872,5841130.954
Hume,Not applicable,16489,315907.872,5841130.954
Hume,Society and Culture,3034,315907.872,5841130.954
Indigo,"Agriculture, Environmental and Related Studies",54,510793.749,5981162.005
Indigo,Architecture and Building,21,510793.749,5981162.005
Indigo,Creative Arts,26,510793.749,5981162.005
Indigo,Education,105,510793.749,5981162.005
Indigo,Engineering and Related Technologies,81,510793.749,5981162.005
Indigo,Field of study not stated,17,510793.749,5981162.005
Indigo,"Food, Hospitality and Personal Services",39,510793.749,5981162.005
Indigo,Health,163,510793.749,5981162.005
Indigo,Information Technology,6,510793.749,5981162.005
Indigo,Management and Commerce,142,510793.749,5981162.005
Indigo,Natural and Physical Sciences,14,510793.749,5981162.005
Indigo,Not applicable,527,510793.749,5981162.005
Indigo,Society and Culture,156,510793.749,5981162.005
Kingston (Vic.),"Agriculture, Environmental and Related Studies",162,331771.56,5791733.148
Kingston (Vic.),Architecture and Building,489,331771.56,5791733.148
Kingston (Vic.),Creative Arts,728,331771.56,5791733.148
Kingston (Vic.),Education,838,331771.56,5791733.148
Kingston (Vic.),Engineering and Related Technologies,1043,331771.56,5791733.148
Kingston (Vic.),Field of study inadequately described,209,331771.56,5791733.148
Kingston (Vic.),Field of study not stated,192,331771.56,5791733.148
Kingston (Vic.),"Food, Hospitality and Personal Services",598,331771.56,5791733.148
Kingston (Vic.),Health,1687,331771.56,5791733.148
Kingston (Vic.),Information Technology,548,331771.56,5791733.148
Kingston (Vic.),Management and Commerce,2355,331771.56,5791733.148
