AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count
15-19 years,Male,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
15-19 years,Male,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,104
15-19 years,Male,Campaspe,Tertiary - University or other higher education,Society and Culture,3
15-19 years,Male,Campaspe,Tertiary - University or other higher education,Not applicable,20
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,5
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,11
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,18
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,9
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,3
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,303
15-19 years,Male,Cardinia,Tertiary - University or other higher education,Information Technology,5
15-19 years,Male,Cardinia,Tertiary - University or other higher education,Creative Arts,5
15-19 years,Male,Cardinia,Tertiary - University or other higher education,Not applicable,244
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,9
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,30
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,28
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Health,6
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,7
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,13
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,11
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",8
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,13
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,639
15-19 years,Male,Casey,Tertiary - University or other higher education,Natural and Physical Sciences,4
15-19 years,Male,Casey,Tertiary - University or other higher education,Information Technology,12
15-19 years,Male,Casey,Tertiary - University or other higher education,Architecture and Building,3
15-19 years,Male,Casey,Tertiary - University or other higher education,Health,9
15-19 years,Male,Casey,Tertiary - University or other higher education,Management and Commerce,16
15-19 years,Male,Casey,Tertiary - University or other higher education,Society and Culture,18
15-19 years,Male,Casey,Tertiary - University or other higher education,Creative Arts,11
15-19 years,Male,Casey,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3
15-19 years,Male,Casey,Tertiary - University or other higher education,Field of study not stated,4
15-19 years,Male,Casey,Tertiary - University or other higher education,Not applicable,1111
15-19 years,Male,Casey,Tertiary - not further defined,Not applicable,4
15-19 years,Male,Central Goldfields,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,21
15-19 years,Male,Central Goldfields,Tertiary - University or other higher education,Not applicable,11
15-19 years,Male,Colac Otway,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3
15-19 years,Male,Colac Otway,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,54
15-19 years,Male,Colac Otway,Tertiary - University or other higher education,Not applicable,10
15-19 years,Male,Corangamite,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3
15-19 years,Male,Corangamite,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,45
15-19 years,Male,Corangamite,Tertiary - University or other higher education,Not applicable,4
15-19 years,Male,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6
15-19 years,Male,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,5
15-19 years,Male,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,8
15-19 years,Male,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6
15-19 years,Male,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,159
15-19 years,Male,Darebin,Tertiary - University or other higher education,Engineering and Related Technologies,4
15-19 years,Male,Darebin,Tertiary - University or other higher education,Architecture and Building,3
15-19 years,Male,Darebin,Tertiary - University or other higher education,Management and Commerce,5
15-19 years,Male,Darebin,Tertiary - University or other higher education,Creative Arts,7
15-19 years,Male,Darebin,Tertiary - University or other higher education,Mixed Field Programmes,3
15-19 years,Male,Darebin,Tertiary - University or other higher education,Not applicable,464
15-19 years,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,95
15-19 years,Male,East Gippsland,Tertiary - University or other higher education,Not applicable,10
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,16
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,7
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,305
15-19 years,Male,Frankston,Tertiary - University or other higher education,Management and Commerce,4
15-19 years,Male,Frankston,Tertiary - University or other higher education,Not applicable,253
15-19 years,Male,Gannawarra,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,19
15-19 years,Male,Gannawarra,Tertiary - University or other higher education,Not applicable,5
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,6
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,3
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,143
15-19 years,Male,Glen Eira,Tertiary - University or other higher education,Management and Commerce,7
15-19 years,Male,Glen Eira,Tertiary - University or other higher education,Creative Arts,7
15-19 years,Male,Glen Eira,Tertiary - University or other higher education,Not applicable,718
15-19 years,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,5
15-19 years,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,44
15-19 years,Male,Glenelg,Tertiary - University or other higher education,Not applicable,5
15-19 years,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4
15-19 years,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,66
15-19 years,Male,Golden Plains,Tertiary - University or other higher education,Not applicable,42
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,12
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,7
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Health,6
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,241
15-19 years,Male,Greater Bendigo,Tertiary - University or other higher education,Engineering and Related Technologies,3
15-19 years,Male,Greater Bendigo,Tertiary - University or other higher education,Not applicable,160
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,10
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,10
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,5
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,7
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,198
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Engineering and Related Technologies,5
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Education,3
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Management and Commerce,9
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Society and Culture,6
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Field of study not stated,9
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Not applicable,581
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,15
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,22
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,13
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",9
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,9
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,517
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Natural and Physical Sciences,4
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Information Technology,5
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Engineering and Related Technologies,6
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Management and Commerce,5
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Society and Culture,10
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Creative Arts,8
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Not applicable,634
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,8
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,6
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,151
15-19 years,Male,Greater Shepparton,Tertiary - University or other higher education,Not applicable,39
15-19 years,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,18
15-19 years,Male,Hepburn,Tertiary - University or other higher education,Not applicable,16
15-19 years,Male,Hindmarsh,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,10
15-19 years,Male,Hindmarsh,Tertiary - University or other higher education,Not applicable,9
15-19 years,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5
15-19 years,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,11
15-19 years,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4
15-19 years,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,114
15-19 years,Male,Hobsons Bay,Tertiary - University or other higher education,Information Technology,6
15-19 years,Male,Hobsons Bay,Tertiary - University or other higher education,Society and Culture,5
15-19 years,Male,Hobsons Bay,Tertiary - University or other higher education,Creative Arts,4
15-19 years,Male,Hobsons Bay,Tertiary - University or other higher education,Not applicable,285
15-19 years,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,9
15-19 years,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,41
15-19 years,Male,Horsham,Tertiary - University or other higher education,Not applicable,13
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,22
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,27
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,8
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,10
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,11
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,490
15-19 years,Male,Hume,Tertiary - University or other higher education,Natural and Physical Sciences,3
15-19 years,Male,Hume,Tertiary - University or other higher education,Information Technology,3
15-19 years,Male,Hume,Tertiary - University or other higher education,Engineering and Related Technologies,10
15-19 years,Male,Hume,Tertiary - University or other higher education,Health,3
15-19 years,Male,Hume,Tertiary - University or other higher education,Education,4
15-19 years,Male,Hume,Tertiary - University or other higher education,Management and Commerce,8
15-19 years,Male,Hume,Tertiary - University or other higher education,Society and Culture,9
15-19 years,Male,Hume,Tertiary - University or other higher education,Creative Arts,9
15-19 years,Male,Hume,Tertiary - University or other higher education,Field of study inadequately described,7
15-19 years,Male,Hume,Tertiary - University or other higher education,Field of study not stated,3
15-19 years,Male,Hume,Tertiary - University or other higher education,Not applicable,752
15-19 years,Male,Hume,Tertiary - not further defined,Not applicable,3
15-19 years,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,3
15-19 years,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,7
15-19 years,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4
15-19 years,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
15-19 years,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,50
15-19 years,Male,Indigo,Tertiary - University or other higher education,Not applicable,10
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,8
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,16
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,7
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,258
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Natural and Physical Sciences,5
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Information Technology,5
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Management and Commerce,9
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Society and Culture,4
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Creative Arts,9
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Not applicable,529
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,4
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,19
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",7
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Health,3
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,5
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,295
15-19 years,Male,Knox,Tertiary - University or other higher education,Natural and Physical Sciences,3
15-19 years,Male,Knox,Tertiary - University or other higher education,Information Technology,4
15-19 years,Male,Knox,Tertiary - University or other higher education,Engineering and Related Technologies,3
15-19 years,Male,Knox,Tertiary - University or other higher education,Health,4
15-19 years,Male,Knox,Tertiary - University or other higher education,Management and Commerce,4
15-19 years,Male,Knox,Tertiary - University or other higher education,Society and Culture,8
15-19 years,Male,Knox,Tertiary - University or other higher education,Creative Arts,7
15-19 years,Male,Knox,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",5
15-19 years,Male,Knox,Tertiary - University or other higher education,Field of study not stated,10
15-19 years,Male,Knox,Tertiary - University or other higher education,Not applicable,584
15-19 years,Male,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,11
15-19 years,Male,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,9
15-19 years,Male,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4
15-19 years,Male,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,152
15-19 years,Male,Latrobe (Vic.),Tertiary - University or other higher education,Field of study not stated,7
15-19 years,Male,Latrobe (Vic.),Tertiary - University or other higher education,Not applicable,67
15-19 years,Male,Loddon,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5
15-19 years,Male,Loddon,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
15-19 years,Male,Loddon,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,6
15-19 years,Male,Loddon,Tertiary - University or other higher education,Not applicable,6
15-19 years,Male,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5
15-19 years,Male,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3
15-19 years,Male,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4
15-19 years,Male,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4
15-19 years,Male,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,120
15-19 years,Male,Macedon Ranges,Tertiary - University or other higher education,Health,3
15-19 years,Male,Macedon Ranges,Tertiary - University or other higher education,Society and Culture,4
15-19 years,Male,Macedon Ranges,Tertiary - University or other higher education,Not applicable,111
15-19 years,Male,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,4
15-19 years,Male,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4
15-19 years,Male,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4
15-19 years,Male,Manningham,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3
