AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count,X,Y
15-19 years,Male,Banyule,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",5,331768.925,5818755.348
15-19 years,Male,Banyule,Tertiary - University or other higher education,Not applicable,457,335264.108,5818585.245
15-19 years,Male,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5,391073.504,5741956.451
15-19 years,Male,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4,363960.157,5759026.267
15-19 years,Male,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,51,375677.425,5734931.523
15-19 years,Male,Bass Coast,Tertiary - University or other higher education,Not applicable,27,358927.57,5727275.437
15-19 years,Male,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6,401179.039,5789213.117
15-19 years,Male,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,7,434938.081,5789213.117
15-19 years,Male,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",5,398093.106,5774967.429
15-19 years,Male,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5,446023.755,5759976.091
15-19 years,Male,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,133,389835.197,5762109.829
15-19 years,Male,Baw Baw,Tertiary - University or other higher education,Not applicable,54,399867.479,5783877.65
15-19 years,Male,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4,326012.042,5795553.275
15-19 years,Male,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,324250.486,5798322.827
15-19 years,Male,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,124,325382.669,5800400.561
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Information Technology,4,325244.322,5799510.406
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Health,5,326024.313,5799011.157
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Management and Commerce,4,328224.956,5799011.157
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Society and Culture,6,325260.929,5803134.45
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Creative Arts,3,324882.865,5799224.65
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Field of study not stated,3,323814.259,5800913.429
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Not applicable,622,324613.119,5802957.026
15-19 years,Male,Benalla,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,18,399620.674,5940358.551
15-19 years,Male,Benalla,Tertiary - University or other higher education,Not applicable,6,411688.57,5933571.048
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5,332416.836,5814050.461
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,4,326830.493,5813280.57
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5,328749.988,5811839.103
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3,331303.909,5814050.461
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,326265.639,5808692.514
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,116,330468.682,5816077.002
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Natural and Physical Sciences,3,327849.06,5814719.901
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Engineering and Related Technologies,3,330233.384,5816103.739
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Management and Commerce,3,330474.661,5815443.183
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Society and Culture,3,328683.481,5813701.429
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Creative Arts,11,330895.564,5809307.295
15-19 years,Male,Boroondara,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",5,331731.836,5813006.859
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Mixed Field Programmes,4,329640.276,5812733.636
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Field of study not stated,3,331363.855,5812638.571
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Not applicable,1283,332930.968,5813751.045
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,9,304089.688,5815926.694
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,11,303068.825,5822188.499
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,6,308579.981,5815212.321
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3,310487.211,5819149.866
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,3,304379.954,5825967.33
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,285,305584.371,5819149.866
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Architecture and Building,3,310289.669,5821898.687
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Management and Commerce,3,302544.215,5812613.522
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Society and Culture,4,310487.211,5817150.138
15-19 years,Male,Brimbank,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3,305104.639,5822188.499
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Mixed Field Programmes,5,304379.954,5825306.513
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Field of study not stated,5,303068.825,5819796.661
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Not applicable,672,310098.027,5813117.361
15-19 years,Male,Buloke,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,3,161189.722,6018767.813
15-19 years,Male,Buloke,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",6,130922.979,6040150.23
15-19 years,Male,Buloke,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,11,125377.92,6040254.148
15-19 years,Male,Buloke,Tertiary - University or other higher education,Not applicable,4,138844.548,6003504.25
15-19 years,Male,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6,261908.211,5988342.523
15-19 years,Male,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,299256.551,5985056.884
15-19 years,Male,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,104,290332.659,5992791.628
15-19 years,Male,Campaspe,Tertiary - University or other higher education,Society and Culture,3,262642.377,5999367.837
15-19 years,Male,Campaspe,Tertiary - University or other higher education,Not applicable,20,275127.77,6005327.863
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,5,373775.784,5770389.904
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,11,385756.18,5766811.808
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,18,367144.462,5775234.047
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,9,378032.369,5772813.591
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3,371243.831,5793959.981
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,3,369269.991,5795815.075
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,383691.884,5768063.02
15-19 years,Male,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,303,384957.743,5780099.118
15-19 years,Male,Cardinia,Tertiary - University or other higher education,Information Technology,5,357914.759,5763397.347
15-19 years,Male,Cardinia,Tertiary - University or other higher education,Creative Arts,5,371102.807,5788121.675
15-19 years,Male,Cardinia,Tertiary - University or other higher education,Not applicable,244,372609.723,5789463.554
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,9,353598.367,5783958.925
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,30,351985.082,5770788.76
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,28,350301.255,5777499.932
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Health,6,350551.404,5792025.629
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,7,357037.754,5791500.299
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,13,356793.964,5778030.729
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,11,347618.725,5776404.5
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",8,344801.213,5782522.512
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,13,347575.054,5771012.986
15-19 years,Male,Casey,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,639,356430.522,5767082.902
15-19 years,Male,Casey,Tertiary - University or other higher education,Natural and Physical Sciences,4,351169.736,5792025.629
15-19 years,Male,Casey,Tertiary - University or other higher education,Information Technology,12,350551.404,5769149.477
15-19 years,Male,Casey,Tertiary - University or other higher education,Architecture and Building,3,345068.014,5789904.09
15-19 years,Male,Casey,Tertiary - University or other higher education,Health,9,352002.485,5780149.065
15-19 years,Male,Casey,Tertiary - University or other higher education,Management and Commerce,16,347262.735,5790353.634
15-19 years,Male,Casey,Tertiary - University or other higher education,Society and Culture,18,347618.725,5794797.041
15-19 years,Male,Casey,Tertiary - University or other higher education,Creative Arts,11,357217.303,5775950.051
15-19 years,Male,Casey,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3,353673.709,5771555.792
15-19 years,Male,Casey,Tertiary - University or other higher education,Field of study not stated,4,345068.014,5771416.615
15-19 years,Male,Casey,Tertiary - University or other higher education,Not applicable,1111,346823.036,5774640.49
15-19 years,Male,Casey,Tertiary - not further defined,Not applicable,4,350351.271,5777257.375
15-19 years,Male,Central Goldfields,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,21,224015.024,5898377.217
15-19 years,Male,Central Goldfields,Tertiary - University or other higher education,Not applicable,11,197690.956,5915618.846
15-19 years,Male,Colac Otway,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3,198114.767,5737833.077
15-19 years,Male,Colac Otway,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,54,186728.21,5742275.214
15-19 years,Male,Colac Otway,Tertiary - University or other higher education,Not applicable,10,214798.296,5738339.806
15-19 years,Male,Corangamite,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3,159999.583,5760052.619
15-19 years,Male,Corangamite,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,45,181453.359,5740886.741
15-19 years,Male,Corangamite,Tertiary - University or other higher education,Not applicable,4,152997.564,5762414.019
15-19 years,Male,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6,323028.365,5824710.555
15-19 years,Male,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,5,324199.529,5825739.263
15-19 years,Male,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,8,328464.539,5823775.333
15-19 years,Male,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6,326595.336,5821745.538
15-19 years,Male,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,159,327228.636,5817140.399
15-19 years,Male,Darebin,Tertiary - University or other higher education,Engineering and Related Technologies,4,325022.621,5819639.474
15-19 years,Male,Darebin,Tertiary - University or other higher education,Architecture and Building,3,324228.803,5820297.376
15-19 years,Male,Darebin,Tertiary - University or other higher education,Management and Commerce,5,328464.539,5824238.02
15-19 years,Male,Darebin,Tertiary - University or other higher education,Creative Arts,7,326114.193,5823877.043
15-19 years,Male,Darebin,Tertiary - University or other higher education,Mixed Field Programmes,3,323517.453,5824710.555
15-19 years,Male,Darebin,Tertiary - University or other higher education,Not applicable,464,323363.858,5823298.613
15-19 years,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,95,571707.778,5801568.983
15-19 years,Male,East Gippsland,Tertiary - University or other higher education,Not applicable,10,659182.675,5915117.552
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3,341509.874,5781204.475
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,16,337586.968,5776863.054
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,7,340298.83,5780043.399
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3,338597.528,5777255.193
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5,342562.37,5772707.115
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3,341207.673,5772208.573
15-19 years,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,305,344138.305,5779229.603
15-19 years,Male,Frankston,Tertiary - University or other higher education,Management and Commerce,4,341236.162,5778131.368
15-19 years,Male,Frankston,Tertiary - University or other higher education,Not applicable,253,339942.391,5782113.168
15-19 years,Male,Gannawarra,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,19,222838.371,6048125.125
15-19 years,Male,Gannawarra,Tertiary - University or other higher education,Not applicable,5,193766.933,6036832.277
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3,327015.601,5801985.865
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5,329127.285,5802710.035
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3,324662.859,5806730.059
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,6,324662.859,5804910.282
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6,325175.171,5805733.221
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,3,329999.135,5800838.155
15-19 years,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,143,329782.995,5803661.315
15-19 years,Male,Glen Eira,Tertiary - University or other higher education,Management and Commerce,7,327582.539,5803294.291
15-19 years,Male,Glen Eira,Tertiary - University or other higher education,Creative Arts,7,326577.598,5804591.413
15-19 years,Male,Glen Eira,Tertiary - University or other higher education,Not applicable,718,327004.376,5802059.883
15-19 years,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,5,4896.448,5800877.946
15-19 years,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,44,-14727.971,5767443.926
15-19 years,Male,Glenelg,Tertiary - University or other higher education,Not applicable,5,-9422.446,5808785.025
15-19 years,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4,223096.604,5795032.236
15-19 years,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,66,215191.799,5785354.326
15-19 years,Male,Golden Plains,Tertiary - University or other higher education,Not applicable,42,202428.893,5817027.871
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,12,256902.076,5928515.61
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,7,275801.426,5912082.968
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Health,6,276169.915,5925037.572
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3,249482.783,5932371.495
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6,250714.293,5938638.204
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,238490.821,5921438.242
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,256879.458,5934308.134
15-19 years,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,241,253650.128,5953912.885
15-19 years,Male,Greater Bendigo,Tertiary - University or other higher education,Engineering and Related Technologies,3,249482.783,5913385.842
15-19 years,Male,Greater Bendigo,Tertiary - University or other higher education,Not applicable,160,241573.297,5920217.16
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,10,337291.187,5785743.761
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,10,339464.24,5789083.81
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,5,339464.24,5787976.154
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,7,344093.837,5785909.927
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3,340857.115,5792484.488
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3,340782.15,5789276.957
15-19 years,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,198,342132.67,5788181.122
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Engineering and Related Technologies,5,340611.258,5798944.076
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Education,3,345692.777,5790618.626
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Management and Commerce,9,342717.531,5789465.011
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Society and Culture,6,337367.118,5788830.738
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Field of study not stated,9,338476.057,5792066.772
15-19 years,Male,Greater Dandenong,Tertiary - University or other higher education,Not applicable,581,343811.821,5795333.522
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,15,261594.417,5803959.872
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,22,266981.329,5765693.54
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3,269519.964,5765901.184
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5,277757.799,5770303.683
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,13,282862.736,5801080.661
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",9,276870.383,5798447.927
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,9,285843.535,5765901.184
15-19 years,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,517,289257.785,5809323.458
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Natural and Physical Sciences,4,265329.589,5792617.645
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Information Technology,5,287325.75,5794227.858
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Engineering and Related Technologies,6,267468.837,5783117.772
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Management and Commerce,5,270269.109,5762656.565
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Society and Culture,10,261594.417,5798057.505
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Creative Arts,8,292623.59,5777372.289
15-19 years,Male,Greater Geelong,Tertiary - University or other higher education,Not applicable,634,265774.396,5766410.367
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3,369940.83,5972929.681
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,8,376130.362,5985243.427
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3,351987.17,5988957.343
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4,373032.019,5984488.014
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,6,338043.768,5953232.775
15-19 years,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,151,343913.307,5953232.775
15-19 years,Male,Greater Shepparton,Tertiary - University or other higher education,Not applicable,39,338453.782,5985243.427
15-19 years,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,18,224531.896,5850035.954
15-19 years,Male,Hepburn,Tertiary - University or other higher education,Not applicable,16,258876.824,5873935.746
15-19 years,Male,Hindmarsh,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,10,43926.741,5959244.235
15-19 years,Male,Hindmarsh,Tertiary - University or other higher education,Not applicable,9,3544.066,6036756.271
15-19 years,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5,311986.813,5811175.77
15-19 years,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,11,305619.631,5808017.284
15-19 years,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,309781.52,5808841.984
15-19 years,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,114,315057.145,5812095.559
15-19 years,Male,Hobsons Bay,Tertiary - University or other higher education,Information Technology,6,309299.838,5808526.911
15-19 years,Male,Hobsons Bay,Tertiary - University or other higher education,Society and Culture,5,313959.752,5806505.733
15-19 years,Male,Hobsons Bay,Tertiary - University or other higher education,Creative Arts,4,310660.491,5808084.491
15-19 years,Male,Hobsons Bay,Tertiary - University or other higher education,Not applicable,285,305287.804,5808279.1
15-19 years,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,9,76093.776,5889822.39
15-19 years,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,41,72153.372,5888611.076
15-19 years,Male,Horsham,Tertiary - University or other higher education,Not applicable,13,83705.977,5896095.023
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,22,313165.901,5835034.91
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,27,318689.246,5842400.435
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4,305924.514,5841130.954
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,8,309301.461,5843828.251
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,10,291216.727,5837941.533
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5,312326.453,5841009.2
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,11,311568.039,5841670.392
15-19 years,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,490,313972.302,5831186.341
15-19 years,Male,Hume,Tertiary - University or other higher education,Natural and Physical Sciences,3,316952.393,5829965.081
15-19 years,Male,Hume,Tertiary - University or other higher education,Information Technology,3,298994.696,5843387.02
15-19 years,Male,Hume,Tertiary - University or other higher education,Engineering and Related Technologies,10,318204.53,5837650.586
15-19 years,Male,Hume,Tertiary - University or other higher education,Health,3,314870.686,5844921.379
15-19 years,Male,Hume,Tertiary - University or other higher education,Education,4,309821.997,5837698.628
15-19 years,Male,Hume,Tertiary - University or other higher education,Management and Commerce,8,315907.872,5838593.175
15-19 years,Male,Hume,Tertiary - University or other higher education,Society and Culture,9,315616.646,5841327.754
15-19 years,Male,Hume,Tertiary - University or other higher education,Creative Arts,9,317461.94,5844725.807
15-19 years,Male,Hume,Tertiary - University or other higher education,Field of study inadequately described,7,308616.811,5841332.345
15-19 years,Male,Hume,Tertiary - University or other higher education,Field of study not stated,3,298476.637,5841415.842
15-19 years,Male,Hume,Tertiary - University or other higher education,Not applicable,752,314870.686,5843672.611
15-19 years,Male,Hume,Tertiary - not further defined,Not applicable,3,298238.29,5840682.271
